input.course_name,Manual Facility Name,input.address,manual street address,input.state,State Abbr.,input.city,input.country,output.website_url,error,tee_on_detected,all_techs
Club de Golf Lac St-Joseph,Club de Golf Lac St-Joseph,"5292 Route de Fossambault, Sainte-Catherine-de-la-Jacques-Cartier, Quebec, Canada, G3N 1V4",5292 Route de Fossambault,Quebec,QC,Sainte Catherine,Canada,http://clubdegolfdulacstjoseph.com/,,No,WordPress
Club de Golf Oka,Club de Golf Oka,"345 St-Michel , Oka, Quebec, Canada, J0N 1E0",345 St-Michel,Quebec,QC,Oka,Canada,http://club-de-golf-oka.com,,No,
The Country Club - West Course,,"20 Lloyd Street, Woodbridge, Ontario, L4L 2B9",20 Lloyd Street,Ontario,ON,Woodbridge,Canada,http://countryclub.clublink.ca/,404 Not Found,,
Craik Golf Club,Craik Golf Club,"Craik Regional Park, Craik, Saskatchewan, S0G 0V0",Craik Regional Park,Saskatchewan,SK,Craik,Canada,http://craikgolf.com/,,No,WordPress
Crumlin Creek Golf Club,Crumlin Creek Golf Club,"1720 Crumlin Side Road, London, Ontario, N5V 1S2",1720 Crumlin Side Road,Ontario,ON,London,Canada,http://crumlincreek.com/,,Yes,"WordPress, Tee On"
Dark Horse Golf Course,Dark Horse Golf Course,"R R # 3, Eckville, Alberta, T0M 0X0",39212A Hwy 766,Alberta,AB,Eckville,Canada,http://darkhorsegolfcourse.weebly.com,,No,
Daysland Golf Club,Daysland Golf Club,"5538-50th Street Box 391 , Daysland, Alberta, T0B 1A0",5538 – 50th Street,Alberta,AB,Daysland,Canada,http://dayslandgolf.com/,,No,WordPress
DiamondBack Golf Club,DiamondBack Golf Club,"13300 Leslie St, Richmond Hill, Ontario, L4E 1A2",13300 Leslie St,Ontario,ON,Richmond Hill,Canada,http://diamondback.clublink.ca,,No,
Duntroon Highlands Golf Club,Duntroon Highlands Golf Club,"Box 104, Concession 10 , Duntroon, Ontario, L0M 1H0",Box 104,Ontario,ON,Duntroon,Canada,http://duntroongolf.ca/,,No,"WordPress, Lightspeed"
Eagle Ridge Golf Course,Eagle Ridge Golf Course,"P.O. Box 566, St. Walburg, Saskatchewan, S0M 2Y0",P.O. Box 566,Saskatchewan,SK,St Walburg,Canada,http://eagleridgegolf.ca/,,No,
Elk Ridge Resort - Tamarack/Aspen,,"Box 130, Waskesiu Lake, Saskatchewan, S0J 2Y0",Box 130,Saskatchewan,SK,Waskesiu Lake,Canada,http://elkridgeresort.com,,Yes,"Squarespace, Tee On"
Elm Ridge Country Club - North,,"851 Cherrier Rd, Ile Bizard, Quebec, H9E 1C3",851 Cherrier Rd,Quebec,QC,����le Bizard,Canada,http://elmridgecc.com/,,No,WordPress
Elmwood Golf and Country Club,Elmwood Golf and Country Club,"2015 Hillcrest Dr, Swift Current, Saskatchewan, S0N 2Y0",2015 Hillcrest Dr,Saskatchewan,SK,Swift Current,Canada,http://elmwoodgc.com/,,Yes,"WordPress, Tee On"
Fauquier and District Golf Club,Fauquier and District Golf Club,"PO Box 121 on Hwy 6 , Fauquier, British Columbia, V0G 1K0",PO Box 121 on Hwy 6,British Columbia,BC,Fauquier,Canada,http://fauquiergolf.ca,,No,WordPress
Foam Lake Golf and Country Club,Foam Lake Golf and Country Club,"Route 310, Foam Lake, Saskatchewan, S0A 1A0",Route 310,Saskatchewan,SK,Foam Lake,Canada,http://foamlake.com,,No,WordPress
Fox Haven Golf & Country Club,Fox Haven Golf & Country Club,"Box 309 , High Level, Alberta, T0H 1Z0",Box 309,Alberta,AB,High Level,Canada,http://foxhavengolf.ca,,Yes,"WordPress, Tee On"
Washademoak Golf Club,Washademoak Golf Club,"9 Clubhouse Lane , Codys, New Brunswick, E4C 1C9",9 Clubhouse Lane,New Brunswick,NB,Codys,Canada,http://fschmidergall.wixsite.com/washademoakgolfclub,Soft 404 detected on main page,,
Furry Creek Golf and Country Club,Furry Creek Golf and Country Club,"150 Country Club Rd. , Furry Creek, British Columbia, V0N 3Z2",150 Country Club Rd.,British Columbia,BC,Furry Creek,Canada,http://furrycreekgolf.com/,,No,"WordPress, Lightspeed"
Golf Beaurivage,Golf Beaurivage,"162 Ch St Gregoire, St-Etienne Lauzon, Quebec, Canada, G6J 1E8",162 Ch St Gregoire,Quebec,QC,Saint Etienne Lauzon,Canada,http://golfbeaurivage.com,,No,"WordPress, Lightspeed"
Club de Golf Cacouna,Club de Golf Cacouna,"960 Rue du Patrimoine, Cacouna, Quebec, G0L 1G0",960 Rue du Patrimoine,Quebec,QC,Cacouna,Canada,http://golfcacouna.com.websitematic.ca/,,No,Lightspeed
Club de Golf Chambly - Le Chambly,Club de Golf Chambly - Le Chambly,"560, rue Martel, Chambly, Quebec J3L 1V5",560,Quebec,QC,Chambly,Canada,http://golfchambly.com,Failure,,
Club de Golf de Chibougamau-Chapais,Club de Golf de Chibougamau-Chapais,"130 rue des Forces Arm����es, Chibougamau, Quebec, G8P 2K5, Canada",130 rue des Forces Arm����es,Quebec,QC,Chibougamau,Canada,http://golfchibougamau.com,,No,
The Bridges at Claresholm Golf Course,The Bridges at Claresholm Golf Course,"349 39th Avenue West, Claresholm, Alberta, T0L 0T0",349 39th Avenue West,Alberta,AB,Claresholm,Canada,http://golfclaresholm.com,,Yes,"WordPress, Tee On"
Club de Golf Beattie - Duparquet,Club de Golf Beattie - Duparquet,"114 Rue Principale, Duparquet, Quebec, Canada, J0Z 1W0",114 Rue Principale,Quebec,QC,Duparquet,Canada,http://golfduparquet.com/,,No,
Forest Golf and Country Hotel - 9-hole,Forest Golf Club & Inn,"102 Main St S, Forest, Ontario, N0N 1J0",102 Main St S,Ontario,ON,Forest,Canada,http://golfforest.com/,,No,GoDaddy
Kettle Creek Golf and Country Club,Kettle Creek Golf and Country Club,"320 Carlow Rd, Port Stanley, Ontario, N5L 1B6",320 Carlow Rd,Ontario,ON,Port Stanley,Canada,http://golfkettlecreek.com/,,Yes,Tee On
Club de Golf La Providence - Les Capucines,,"5055, rue St-Pierre Ouest CP 15, St-Hyacinthe, Quebec, J2S 7B2",5055,Quebec,QC,Saint Hyacinthe,Canada,http://golflaprovidence.com,,No,
Club de Golf Sorel-Tracy Les Dunes,Club de Golf Sorel-Tracy Les Dunes,"12000 chemin St-Roch , Tracy, Quebec, Canada, J3R 5E8",12000 chemin St-Roch,Quebec,QC,Tracy,Canada,http://golflesdunes.com/,,No,WordPress
Meadow Creek Golf Club,Meadow Creek Golf Club,"PO Box 827 Meadow Road , Logan Lake, British Columbia, V0K 1W0",PO Box 827 Meadow Road,British Columbia,BC,Logan Lake,Canada,http://golfloganlake.ca,Failure,,
Maplewood Golf Club,,"1413 Great Northern Road , Sault Ste. Marie, Ontario, P6A 5K7",1413 Great Northern Road,Ontario,ON,Sault Ste Marie,Canada,http://golfmaplewood.weebly.com/,,No,
Club de Golf Mascouche,,"1020 Chemin des Anglais, Mascouche, Quebec, J7L 3R8",1020 Chemin des Anglais,Quebec,QC,Mascouche,Canada,http://golfmascouche.qc.ca,Failure,,
Oshawa Airport Golf Club,Oshawa Airport Golf Club,"1145 Thornton Rd N, Oshawa, Ontario, L1H 7K4",1145 Thornton Rd N,Ontario,ON,Oshawa,Canada,http://golfnorth.ca,,Yes,"WordPress, Tee On"
Club de Golf Touraine,Club de Golf Touraine,"312 Chemin Tache , Gatineau, Quebec, J8T 4Y6",312 Chemin Tache,Quebec,QC,Gatineau,Canada,http://golftouraine.com/,,No,Lightspeed
Club de Golf Trout River,Club de Golf Trout River,"2222 chemin Watson, Elgin, QC, J0S 2E0",2222 chemin Watson,Quebec,QC,Elgin,Canada,http://golftroutriver.com/,,No,
Joanne Goulet Golf Club,Joanne Goulet Golf Club,"8045 Kestral Dr, Regina, Saskatchewan, S4Y 1G7",8045 Kestral Dr,Saskatchewan,SK,Regina,Canada,http://gouletclub.com/,,Yes,"WordPress, Tee On"
Hartney Golf Club,Hartney Golf Club,"on Hwy 21, Hartney, Manitoba, R0M 0X0",on Hwy 21,Manitoba,MB,Hartney,Canada,http://grasslandmunicipality.ca/p/hartney-golf-course,,No,GoDaddy
Harmony Creek Golf Club,Harmony Creek Golf Club,"1000 Bloor St E, Oshawa, Ontario, L1H 8S1",1000 Bloor St E,Ontario,ON,Oshawa,Canada,http://harmonycreekgolf.com/,,No,"WordPress, Tee It Up"
Innerkip Highlands Golf Club,Innerkip Highlands Golf Club,"R.R. #1, Box 218, Innerkip, Ontario, N0J 1M0",R.R. #1,Ontario,ON,Innerkip,Canada,http://innerkiphighlands.com/,,No,"Club Prophet, 121 Marketing, Sagacity AI Assistant"
Iron Creek Country Club,Iron Creek Country Club,"46343 Talbot Line R.R. #3 , St. Thomas, Ontario, N5P 3S7",46343 Talbot Line R.R. #3,Ontario,ON,St Thomas,Canada,http://ironcreek.ca/,,No,"WordPress, Tee It Up"
Fairways at Kirrie Glen,Fairways at Kirrie Glen,"Highway 118, Bracebridge, Ontario, P1L 1W8",Highway 118,Ontario,ON,Bracebridge,Canada,http://kirrieglen.ca/,,No,"Lightspeed, Wix Bookings"
Lake St. George Golf Club - South,,"3156 South Sparrow Lake Road, Washago, Ontario, L0K 2B0",3156 South Sparrow Lake Road,Ontario,ON,Washago,Canada,http://lakestgeorgegolf.com/,,Yes,Tee On
Lee Golf Club,Lee Golf Club,"Golf Club Road, Cochrane, Ontario, P0L 1C0",Golf Club Road,Ontario,ON,Cochrane,Canada,http://leegolfclub.com,,No,"WordPress, Lightspeed"
Legends Golf and Country Club - Old Hickory Nine,,"53541 Range Road 232 , Sherwood Park, Alberta, T8A 4V2",53541 Range Road 232,Alberta,AB,Sherwood Park,Canada,http://legendsgolf.ca/,,Yes,Tee On
Lindsay Golf and Country Club,Lindsay Golf and Country Club,"282 Lindsay St S, Lindsay, Ontario, K9V 4R5",282 Lindsay St S,Ontario,ON,Lindsay,Canada,http://lindsaygolf.ca/,,Yes,"WordPress, Tee On"
Listowel Golf and Country Club - Heritage/Millennium Course,,"8380 Fairlane Road, RR1, Listowel, ON N4W 3G6",8380 Fairlane Road,Ontario,ON,Listowel,Canada,http://listowelgolfclub.ca/,,Yes,"WordPress, Tee On"
Little Bear Golf Course,Little Bear Golf Course,"872 Waterloo Road, Castlegar, BC, V1N 4K8",872 Waterloo Road,British Columbia,BC,Castlegar,Canada,http://littlebeargolfcourse.ca,Failure,,
Macklin Lakeview Golf Club,Macklin Lakeview Golf Club,"P.O. Box 275, Macklin, Saskatchewan, S0L 2C0",P.O. Box 275,Saskatchewan,SK,Macklin,Canada,http://macklin.ca/golfcourse.htm,,No,
Maple Downs Golf and Country Club,Maple Downs Golf and Country Club,"11101 Dufferin St, Maple, Ontario, L6A 1S2",11101 Dufferin St,Ontario,ON,Maple,Canada,http://mapledowns.com,,No,"WordPress, ClubHouse Online, Jonas Software"
Maple Ridge Golf Course,Maple Ridge Golf Course,"20818 Golf Lane , Maple Ridge, British Columbia, V2X 1M2",20818 Golf Lane,British Columbia,BC,Maple Ridge,Canada,http://mapleridgegolfcourse.org/,,No,WordPress
Marmot Ridge Golf Course,Marmot Ridge Golf Course,"200 Exeter Station Rd, 100 Mile House, British Columbia, V0K 2E0",200 Exeter Station Rd,British Columbia,BC,100 Mile House,Canada,http://marmotridgegolfcourse.com,Failure,,
MartinWood Resort,MartinWood Resort,"4727 Elephant Lake Road, Harcourt, Ontario, K0L 1X0",4727 Elephant Lake Road,Ontario,ON,Harcourt,Canada,http://martinwoodresort.com,,No,
Dixon Entrance Golf and Country Club,Dixon Entrance Golf and Country Club,"Tow Hill Road , Masset, British Columbia, V0T 1M0",Tow Hill Road,British Columbia,BC,Masset,Canada,http://massetbc.com/visitors/golf-course/,,No,
Miramichi Golf and Country Club,Miramichi Golf and Country Club,"930 Water St, Miramichi, New Brunswick, Canada, E1N 4C6",930 Water St,New Brunswick,NB,Miramichi,Canada,http://miramichigolfclub.ca/,,No,"Lightspeed, Squarespace"
Molyhills Golf Club,Molyhills Golf Club,"1400 E Francois Lake Rd, Fraser Lake, British Columbia, V0J 1S0",1400 E Francois Lake Rd,British Columbia,BC,Fraser Lake,Canada,http://molyhillsgolf.com/,,No,
Winnipegosis Municipal Golf Course,Winnipegosis Municipal Golf Course,"Box 426 , Winnipegosis, Manitoba, Canada, R0L 2G0",Box 426,Manitoba,MB,Winnipegosis,Canada,http://mosseyrivermunicipality.com/golf-course,,No,
Omineca Golf and Country Club,Omineca Golf and Country Club,"Northside Road P.O. Box 1754 , Vanderhoof, British Columbia, V0J 3A0",Northside Road P.O. Box 1754,British Columbia,BC,Vanderhoof,Canada,http://ominecagolfandcountryclub.com/,,No,Lightspeed
Osprey Shores Golf Resort,Osprey Shores Golf Resort,"119 Ferry Rd, Guysborough, Nova Scotia, B0H 1N0",119 Ferry Rd,Nova Scotia,NS,Guysborough,Canada,http://ospreyshoresresort.com,Failure,,
Peace Portal Par 3 Golf Course,Peace Portal Par 3 Golf Course,"17065 4 Ave, Surrey, British Columbia, V3S 9P6,",17065 4 Ave,British Columbia,BC,Surrey,Canada,http://peaceportalpar3.com/,,No,GoDaddy
Pheasantback Golf & RV Estates,Pheasantback Golf & RV Estates,"39575 Range Road 20-0 , Stettler, Alberta, T0C 2L0",39575 Range Road 20-0,Alberta,AB,Stettler,Canada,http://pheasantbackgolf.ca/,Failure,,
Pine Hills Golf and Country Club,Pine Hills Golf and Country Club,"3610 Pine Hills Drive , Penticton, British Columbia, V2A 9A2",3610 Pine Hills Drive,British Columbia,BC,Penticton,Canada,http://pinehillsgolfclub.ca/,,No,
Pipestone Golf Club,Pipestone Golf Club,"PO Box 520 , Wembley, Alberta, T0H 3S0",PO Box 520,Alberta,AB,Wembley,Canada,http://pipestonegc.ca/,,No,"WordPress, Tee It Up"
Provost and District Golf Club,Provost and District Golf Club,"4921 49 Ave, Provost, Alberta, T0B 3S0",4921 49 Ave,Alberta,AB,Provost,Canada,http://provostgolf.ca/,,Yes,"WordPress, Tee On"
Pinewood Park Golf Course,Pinewood Park Golf Course,"201 Pinewood Park Drive, North Bay, Ontario, Canada, P1B 8Z4",201 Pinewood Park Drive,Ontario,ON,North Bay,Canada,http://ramadapinewoodparkresort.com/golf,Soft 404 detected on main page,,
Raven Meadows Golf Resort,Raven Meadows Golf Resort,"Highway 13 & Highway 22, Box 220 , Alder Flats, Alberta, T0C 0A0",454065 Hwy 22,Alberta,AB,Alder Flats,Canada,http://ravenmeadows.ca,Parked domain,,
Remington Parkview Golf and Country Club - Upper,,"6400 Steeles Avenue East, Markham, Ontario, L3S 3J5",6400 Steeles Avenue East,Ontario,ON,Markham,Canada,http://remingtonparkview.com,,No,"WordPress, Tee It Up"
Richmond Country Club,Richmond Country Club,"9100 Steveston Hwy , Richmond, British Columbia, V7A 1M5",9100 Steveston Hwy,British Columbia,BC,Richmond,Canada,http://richmondcountryclub.ca/,,No,"Jonas Software, ClubHouse Online"
Rosevale Par 3 Family Golf Course,Rosevale Par 3 Family Golf Course,"136 Redden Rd., Martock, Nova Scotia, B0N 2T0,",136 Redden Rd.,Nova Scotia,NS,Martock,Canada,http://rosevalegolf.com/,,No,
Royal Ashburn Golf Club,Royal Ashburn Golf Club,"995 Myrtle Road West, Ashburn, Ontario, L0B 1A0",995 Myrtle Road West,Ontario,ON,Ashburn,Canada,http://royalashburngolfclub.com,,No,"WordPress, Lightspeed"
Senjan Golf Club,Senjan Golf Club,"7802 6th Line, R R#2, Elora, Ontario, N0B 1S0",7802 6th Line,Ontario,ON,Elora,Canada,http://senjangolf.com,,No,
Seymour Golf and Country Club,Seymour Golf and Country Club,"3723 Mount Seymour Parkway , North Vancouver, British Columbia, V7G 1C1",3723 Mount Seymour Parkway,British Columbia,BC,North Vancouver,Canada,http://seymourgolf.com/,,No,"Jonas Software, ClubHouse Online"
Silvertip Golf Course,Silvertip Golf Course,"2000 Silvertip Trail, Canmore, Alberta, Canada T1W 3J4",2000 Silvertip Trail,Alberta,AB,Canmore,Canada,http://silvertipresort.com/,,No,"Club Prophet, WordPress, SimplyBook.me"
Souris and Glenwood Community Golf Club,Souris and Glenwood Community Golf Club,"PO Box 985, Souris, Manitoba, R0K 2C0",PO Box 985,Manitoba,MB,Souris,Canada,http://sourismanitoba.com/golf-course,,No,
Station Creek Golf Club - North Course,Station Creek Golf Club,"12657 Woodbine Ave. PO Box 489, Gormley, Ontario, L0H 1G0",12657 Woodbine Ave. PO Box 489,Ontario,ON,Gormley,Canada,http://stationcreek.clublink.ca/,,No,
St. Brieux Regional Park Golf Course,St. Brieux Regional Park Golf Course,"RR 779 W & Municipal Rd 368 Intersection, St. Brieux, Saskatchewan, S0K 3V0",RR 779 W & Municipal Rd 368 Intersection,Saskatchewan,SK,St Brieux,Canada,http://stbrieuxregionalpark.ca/golf/,,No,WordPress
St. George Golf Club,St. George Golf Club,"170 Route 780, St. George, New Brunswick, Canada, E5C 2E7",170 Route 780,New Brunswick,NB,St George,Canada,http://stgeorgegolfclub.ca,,No,
Stratford Country Club,Stratford Country Club,"53 Romeo Street North , Stratford, Ontario, N5A 6S2",53 Romeo Street North,Ontario,ON,Stratford,Canada,http://stratfordcountryclub.ca/,,Yes,"WordPress, Tee On"
Stratford Municipal Golf Course,Stratford Municipal Golf Course,"251 Norfolk St, Stratford, Ontario, N5A 3Z1",251 Norfolk St,Ontario,ON,Stratford,Canada,http://stratfordmunicipalgolfcourse.com/,,No,"WordPress, Lightspeed"
Sunshore Golf Club,Sunshore Golf Club,"929 Hysop Road , Chase, British Columbia, V0E 1M0",929 Hysop Road,British Columbia,BC,Chase,Canada,http://sunshoregolf.ca/,,No,WordPress
Amaruk Golf Club,Amaruk Golf Club,"P.O. Box 388, Stn. C Hamilton River Road , Happy Valley-Goose Bay, Newfoundland, A0P 1C0",P.O. Box 388,Newfoundland,NL,Happy Valley Goose Bay,Canada,http://theamarukgolfclub.ca/,Failure,,
The Toronto Hunt Club,The Toronto Hunt Club,"1355 Kingston Road , Toronto, Ontario, M1N 1R1",1355 Kingston Road,Ontario,ON,Toronto,Canada,http://torontohunt.com,,No,"WordPress, Jonas Software, ClubHouse Online"
Trestle Creek Golf Resort - The Jack Pine Nine,Trestle Creek Golf Resort,"Highway 16, South on RR 70 1.5 km, Box 126, Entwistle, Alberta, T0E 0S0",7011 Township Road 532,Alberta,AB,Entwistle,Canada,http://trestlecreek.ca/,,Yes,Tee On
Twin Stacks Golf Club,Twin Stacks Golf Club,"84 Smelter Rd, Coniston, Ontario, P0M 1M0",84 Smelter Rd,Ontario,ON,Coniston,Canada,http://twinstacks.ca,,Yes,Tee On
Fiddler's Green Golf Course,Fiddler's Green Golf Course,"750 Williams Point Rd., Antigonish, Nova Scotia, B2G 2L4",750 Williams Point Rd.,Nova Scotia,NS,Antigonish,Canada,http://users.eastlink.ca/~fiddlersgreen,Failure,,
Viking Golf and Country Club,Viking Golf and Country Club,"4431 55th Avenue , Viking, Alberta, T0B 4N0",4431 55th Avenue,Alberta,AB,Viking,Canada,http://vikinggolfclub.ca/,Failure,,
Woodland Hills Golf Club,Woodland Hills Golf Club,"1919 County Road 27 , Woodslee, Ontario, N0R 1V0",1919 County Road 27,Ontario,ON,Woodslee,Canada,http://woodlandhillsgolf.ca,,No,WordPress
Canadian Forces Base Winnipeg Golf Club at 17 Wing,Canadian Forces Base Winnipeg Golf Club at 17 Wing,"17 Wing/CFB Winnipeg, 17 Wing, Winnipeg, Manitoba, Canada, R3J 2L5",17 Wing/CFB Winnipeg,Manitoba,MB,Winnipeg,Canada,http://www.17WingWPGGolf.ca,Failure,,
Allandale Golf Course,Allandale Golf Course,"3699 20th Side Road, Innisfil Ontario, L9S 2X8",3699 20th Side Road,Ontario,ON,Innisfil,Canada,http://www.allandalegolfcourse.com,,No,"Lightspeed, Squarespace"
Apollo Valley Golf Club,Apollo Valley Golf Club,"2462 Concession Road 2 W, Lynden, Ontario, L0R 2B0",2462 Concession Road 2 W,Ontario,ON,Lynden,Canada,http://www.apollovalley.com/,,No,
Aquadel Golf Course,,"1859 Columbia Valley Highway , Lindell Beach, British Columbia, V2R 4W6",1859 Columbia Valley Highway,British Columbia,BC,Lindell Beach,Canada,http://www.aquadel.ca,,No,WordPress
Cider House Golf,,"6275 Liberty Street North, Bowmanville, ON , L1C 3K6",6275 Liberty Street North,Ontario,ON,Bowmanville,Canada,http://www.archibaldswinery.com/,,No,WordPress
Arkona Fairways Golf Course,Arkona Fairways Golf Course,"8562 Townsend Line, Arkona, Ontario, N0M 1B0",8562 Townsend Line,Ontario,ON,Arkona,Canada,http://www.arkonafairways.com,,Yes,"WordPress, Tee On"
Arrowdale Public Golf Course,,"282 Stanley St, Brantford, Ontario, N3S 6N5",282 Stanley St,Ontario,ON,Brantford,Canada,http://www.arrowdalegolf.ca,Soft 404 detected on main page,,
Avondale Golf Course,Avondale Golf Course,"586 Avondale Road, Vernon River, Prince Edward Island, C0A 2E0",586 Avondale Road,Prince Edward Island,PE,Vernon River,Canada,http://www.avondalegolf.com,,No,"Tee Time Central, sZensoft"
Balm Beachway Golf Club,Balm Beachway Golf Club,"R.R. #1, Concession 11, Perkinsfield, Ontario, L0L 2J0",R.R. #1,Ontario,ON,Perkinsfield,Canada,http://www.balmbeachwaygolfclub.com/,Failure,,
Blackburn Meadows Golf,,"269 Blackburn Rd. , Saltspring Island, British Columbia, V8K 2B8",269 Blackburn Rd.,British Columbia,BC,Salt Spring Island,Canada,http://www.blackburnmeadows.com,Failure,,
Blackwater Golf Course,Blackwater Golf Course,"21889 Highway 48 , Mount Albert, Ontario, Canada, L0G 1M0",21889 Highway 48,Ontario,ON,Mount Albert,Canada,http://www.blackwater-gc.ca,Failure,,
Bluewater Golf Course,Bluewater Golf Course,"77416 Bluewater Hwy, Bluewater, Ontario, N0M 1G0",77416 Bluewater Hwy,Ontario,ON,Bayfield,Canada,http://www.bluewatergolfandcamp.ca/,,Yes,"Tee On, Squarespace"
Bonaire Golf and Country Club - Park/Island,,"1699 Woodrow Rd, Coldwater, Ontario, L0K 1E0",1699 Woodrow Rd,Ontario,ON,Coldwater,Canada,http://www.bonairegolf.com/,,No,Lightspeed
Bonnie Doon Golf Course,,"4195 Aberarder Line, Camlachie, Ontario, Canada, N0N 1E0",4195 Aberarder Line,Ontario,ON,Camlachie,Canada,http://www.bonniedoongolf.com,Failure,,
Bridge Valley Golf,Bridge Valley Golf,"100 Bridge Drive West, Lethbridge, Alberta , Canada, T1J 3H8",100 Bridge Drive West,Alberta,AB,Lethbridge,Canada,http://www.bridgevalleygolf.com/,,No,WordPress
Bright's Grove Golf Club,,"1992 Estella , Bright's Grove, Ontario, N0N1C0",1992 Estella,Ontario,ON,Brights Grove,Canada,http://www.brightsgrovegolfclub.com,Failure,,
Brookside Golf Course,,"P.O. Box 1, R.R. #2 , Hatchet Cove, Newfoundland, A0E 2A0",P.O. Box 1,Newfoundland,NL,Hatchet Cove,Canada,http://www.brooksidegolf.ca,Domain Available page detected,,
Buck's Crossing Golf Course,Buck's Crossing Golf Course,"401345 County Road 4, Hanover, ON, N4N 3B8",401345 County Road 4,Ontario,ON,Hanover,Canada,http://www.buckscrossinggolf.com,Domain Available page detected,,
Calahoo Hills Golf Course,Calahoo Hills Golf Course,"Site 6, Box 7, RR #1 , Calahoo, Alberta, T0G 0J0",54410 Range Road 280,Alberta,AB,Calahoo,Canada,http://www.calahoohillsgolfcourse.ca/,,No,
Richmond Green Golf Club,Richmond Green Golf Club,"2539-33 Avenue S.W. , Calgary, Alberta, T2T 2A2",,Alberta,AB,Calgary,Canada,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Richmond-Green.aspx,Soft 404 detected on main page,,
Camden Braes Golf and Country Club,Camden Braes Golf and Country Club,"1459 Simmons Road, Odessa, Ontario, K0H 2H0",1459 Simmons Road,Ontario,ON,Odessa,Canada,http://www.camdenbraes.com/,,Yes,"WordPress, Tee On"
Club de Golf Campla,Club de Golf Campla,"175, rue Parent , Begin, Quebec, G0V 1B0",175,Quebec,QC,Begin,Canada,http://www.camplagolf.com,Failure,,
Capital Golf Club,,"3798 Bank Street, Gloucester, Ontario, K1G 3N2",3798 Bank Street,Ontario,ON,Gloucester,Canada,http://www.capital-golf.ca/,Failure,,
